Full Name,smiles,Concentration (μmol/mL),C atom,H atom,N atom,F atom,O atom,Ipc,Molecular weight,Hydrogen bond donor,Hydrogen bond acceptor,Rotatable bond,Complexity,MolLogP
but-3-en-1-aminium iodide,[I-].[NH3+]CCC=C,1,4,10,1,0,0,11.2451125,199.035,1,0,2,28.72905595,-3.1916
2-(1-cyclohexenyl)ethylammonium iodide,[I-].[NH3+]CCC1=CCCCC1,1,8,16,1,0,0,145.1665367,253.127,1,0,2,109.8252188,-1.8772
"2-(2,4,6-trifluorophenyl)ethan-1-aminium iodide",[I-].[NH3+]CCc1c(F)cc(F)cc1F,1,8,9,1,3,0,435.6475162,303.065,1,0,2,267.7127826,-2.1077
"2-(3,5-difluorophenyl)ethan-1-aminium iodide",[I-].[NH3+]CCc1cc(F)cc(F)c1,1,8,10,1,2,0,271.4782835,285.075,1,0,2,232.5632181,-2.2468
2-(4-nitrophenyl)ethan-1-aminium iodide,[I-].[NH3+]CCc1ccc(cc1)[N+]([O-])=O,1,8,11,2,0,2,535.0628081,294.092,1,2,3,273.9774451,-2.6168
2-(4-(trifluoromethyl)phenyl)ethan-1-aminium iodide,[I-].[NH3+]CCc1ccc(cc1)C(F)(F)F,1,9,11,1,3,0,685.8063461,317.092,1,0,2,268.3807102,-1.5062
"2-([1,1'-biphenyl]-4-yl)ethan-1-aminium iodide",[I-].[NH3+]CCc1ccc(cc1)c2ccccc2,1,14,16,1,0,0,4114.200669,325.193,1,0,3,408.5102919,-0.858
2-(4-benzylphenyl)ethan-1-aminium iodide,[I-].[NH3+]CCc1ccc(Cc2ccccc2)cc1,1,15,18,1,0,0,6460.402497,339.22,1,0,4,422.4346247,-0.9342
2-(naphthalen-2-yl)ethan-1-aminium iodide,[I-].[NH3+]CCc1ccc2ccccc2c1,1,12,14,1,0,0,1414.083283,299.155,1,0,2,411.7369661,-1.3718
2-(3-(trifluoromethyl)phenyl)ethan-1-aminium iodide,[I-].[NH3+]CCc1cccc(c1)C(F)(F)F,1,9,11,1,3,0,680.8310558,317.092,1,0,2,285.6307102,-1.5062
"2-([1,1'-biphenyl]-3-yl)ethan-1-aminium iodide",[I-].[NH3+]CCc1cccc(c1)c2ccccc2,1,14,16,1,0,0,4067.583884,325.193,1,0,3,425.7602919,-0.858
2-(3-fluorophenyl)ethan-1-aminium iodide,[I-].[NH3+]CCc1cccc(F)c1,1,8,11,1,1,0,199.4352741,267.085,1,0,2,215.0019611,-2.3859
2-(2-(trifluoromethyl)phenyl)ethan-1-aminium iodide,[I-].[NH3+]CCc1ccccc1C(F)(F)F,1,9,11,1,3,0,688.9265554,317.092,1,0,2,285.6307102,-1.5062
2-(2-allylphenyl)ethan-1-aminium iodide,[I-].[NH3+]CCc1ccccc1CC=C,1,11,16,1,0,0,619.2498686,289.16,1,0,4,258.022121,-1.7965
4-phenylhex-5-en-1-aminium iodide,[I-].[NH3+]CCCC(C=C)c1ccccc1,1,12,18,1,0,0,1103.174033,303.187,1,0,5,245.7584588,-1.0177
3-carboxypropan-1-aminium iodide,[I-].[NH3+]CCCC(O)=O,1,4,10,1,0,2,29.01955001,231.033,2,1,3,67.05865003,-3.9029
1-phenyl-2-aminopropane,[I-].[NH3+]CCCc1ccccc1,1,9,14,1,0,0,251.6672,263.12,1,0,3,174.1774,-2.1349
3-phenylpropan-1-aminium iodide,[I-].[NH3+]CCCc1ccccc1,1,9,14,1,0,0,251.6671623,263.122,1,0,3,174.1774242,-2.1349
"3-([2,2-bithiophen]-4-yl)propan-1-aminium iodide",[I-].[NH3+]CCCc1csc(c1)c2sccc2,1,11,14,1,0,0,3303.711928,351.278,1,2,4,380.9581967,-0.3449
4-(9H-fluoren-9-yl)butan-1-aminium iodide,[I-].[NH3+]CCCCC1c2ccccc2c3ccccc13,1,17,20,1,0,0,26920.89767,365.258,1,0,4,504.9632579,0.2151
6-phenylhexan-1-aminium iodide,[I-].[NH3+]CCCCCCc1ccccc1,1,12,20,1,0,0,1148.776083,305.203,1,0,6,210.8215309,-0.9646
6-iodohexylammonium iodide,[I-].[NH3+]CCCCCCI,1,6,15,1,0,0,61.49961227,355.001,1,0,5,36.03910002,-1.7723
5-iodopentylammonium iodide,[I-].[NH3+]CCCCCI,1,5,13,1,0,0,35.50960993,340.974,1,0,4,29.60964047,-2.1624
4-iodobutylammonium iodide,[I-].[NH3+]CCCCI,1,4,11,1,0,0,20.98630086,326.947,1,0,3,21.65148445,-2.5525
4-(pyren-1-yloxy)butan-1-aminium iodide,[I-].[NH3+]CCCCOc1ccc2ccc3cccc4ccc1c2c34,1,20,20,1,0,1,206278.1761,417.29,1,1,5,918.930402,0.9889
3-iodopropylammonium iodide,[I-].[NH3+]CCCI,1,3,9,1,0,0,11.2451125,312.92,1,0,2,16.26466251,-2.9426
"3-((1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-yl)oxy)propan-1-aminium iodide",[I-].[NH3+]CCCOC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,1,7,9,1,9,1,2490.116105,421.041,1,1,4,235.1732639,-0.9353
3-(pyren-1-yloxy)propan-1-aminium iodide,[I-].[NH3+]CCCOc1ccc2ccc3cccc4ccc1c2c34,1,19,18,1,0,1,125641.457,403.263,1,1,4,903.2816427,0.5988
3-(naphthalen-1-yloxy)propan-1-aminium iodide,[I-].[NH3+]CCCOc1cccc2ccccc12,1,13,16,1,0,1,3997.031558,329.181,1,1,4,439.3855693,-1.1454
2-iodoethylammonium iodide,[I-].[NH3+]CCI,1,2,7,1,0,0,6.854752972,298.893,1,0,1,9.609640474,-3.3327
2-(1-Pyridyl)ethylammonium iodide,[I-].[NH3+]CCN1CC=CC=C1,1,7,13,2,0,0,145.1665367,252.099,1,1,2,131.5677965,-3.3822
